order_id,order_ts,warehouse_id,dest_region,product_category,order_value,units
ORD-000001,2025-11-17T18:43:00,WH-DAL,Northeast,Sports,51.06,2
ORD-000002,2024-12-11T20:01:00,WH-CHI,Midwest,Sports,62.0,3
ORD-000003,2024-07-24T16:35:00,WH-CHI,Southeast,Apparel,44.87,4
ORD-000004,2024-06-10T09:35:00,WH-NJ,Northeast,Sports,66.4,5
ORD-000005,2024-08-04T12:40:00,WH-DAL,Midwest,Electronics,37.78,3
ORD-000006,2025-05-13T16:07:00,WH-DAL,Midwest,Apparel,95.57,1
ORD-000007,2024-02-02T15:54:00,WH-LAX,Southeast,Home,81.25,2
ORD-000008,2025-05-17T13:38:00,WH-DAL,Midwest,Beauty,38.77,1
ORD-000009,2025-07-17T03:29:00,WH-DAL,Southeast,Sports,33.9,5
ORD-000010,2025-07-27T20:05:00,WH-CHI,Southeast,Apparel,43.47,1
ORD-000011,2024-08-18T00:00:00,WH-LAX,West,Electronics,32.18,5
ORD-000012,2024-08-12T18:41:00,WH-DAL,South,Electronics,43.3,1
ORD-000013,2025-03-17T19:11:00,WH-NJ,South,Electronics,45.56,1
ORD-000014,2025-02-06T01:52:00,WH-CHI,Southeast,Home,59.61,1
ORD-000015,2024-10-20T23:04:00,WH-CHI,Southeast,Electronics,64.61,3
ORD-000016,2025-10-21T03:18:00,WH-NJ,South,Beauty,24.24,2
ORD-000017,2025-10-02T10:27:00,WH-ATL,Southeast,Apparel,108.35,1
ORD-000018,2025-07-25T16:01:00,WH-NJ,Southeast,Home,23.52,1
ORD-000019,2024-04-08T18:47:00,WH-CHI,Northeast,Beauty,74.17,1
ORD-000020,2024-04-08T17:45:00,WH-ATL,West,Electronics,110.61,4
ORD-000021,2025-02-01T20:47:00,WH-DAL,West,Electronics,96.94,5
ORD-000022,2025-07-16T21:07:00,WH-LAX,Southeast,Beauty,339.77,1
ORD-000023,2025-03-28T15:18:00,WH-NJ,Midwest,Beauty,14.16,4
ORD-000024,2024-02-06T23:28:00,WH-LAX,Northeast,Electronics,53.02,5
ORD-000025,2024-06-09T02:17:00,WH-NJ,West,Grocery,74.4,2
ORD-000026,2025-09-30T09:01:00,WH-NJ,West,Sports,33.88,2
ORD-000027,2025-02-11T12:59:00,WH-LAX,West,Electronics,56.18,3
ORD-000028,2025-04-15T14:27:00,WH-LAX,Midwest,Electronics,37.47,5
ORD-000029,2024-05-29T21:48:00,WH-ATL,South,Beauty,118.8,4
ORD-000030,2024-01-05T06:03:00,WH-ATL,West,Beauty,43.16,2
ORD-000031,2025-09-27T09:29:00,WH-DAL,Southeast,Apparel,89.26,2
