shipment_id,order_id,carrier_id,lane_id,promised_delivery_ts,actual_delivery_ts,shipping_cost,late_penalty_cost,on_time_flag
SHP-000001,ORD-000001,CR-REG,LN-010,2025-11-21T18:43:00,2025-11-24T14:36:56,16.26,14.9,0
SHP-000002,ORD-000002,CR-EXP,LN-001,2024-12-13T20:01:00,2024-12-13T10:20:55,25.03,0.0,1
SHP-000003,ORD-000003,CR-EXP,LN-003,2024-07-26T16:35:00,2024-07-29T08:17:42,23.27,14.29,0
SHP-000004,ORD-000004,CR-ECO,LN-025,2024-06-18T09:35:00,2024-06-12T22:00:08,8.65,0.0,1
SHP-000005,ORD-000005,CR-EXP,LN-006,2024-08-06T12:40:00,2024-08-07T15:07:35,26.09,8.86,0
SHP-000006,ORD-000006,CR-REG,LN-006,2025-05-17T16:07:00,2025-05-17T03:29:52,16.88,0.0,1
SHP-000007,ORD-000007,CR-REG,LN-018,2024-02-06T15:54:00,2024-02-10T00:15:01,16.78,16.72,0
SHP-000008,ORD-000008,CR-ECO,LN-006,2025-05-25T13:38:00,2025-05-23T04:52:16,10.62,0.0,1
SHP-000009,ORD-000009,CR-EXP,LN-008,2025-07-19T03:29:00,2025-07-22T17:38:15,23.23,17.56,0
SHP-000010,ORD-000010,CR-ECO,LN-003,2025-08-04T20:05:00,2025-08-07T21:19:00,12.41,15.68,0
SHP-000011,ORD-000011,CR-ECO,LN-019,2024-08-26T00:00:00,2024-08-21T22:42:09,6.65,0.0,1
SHP-000012,ORD-000012,CR-EXP,LN-007,2024-08-14T18:41:00,2024-08-14T12:50:40,25.05,0.0,1
SHP-000013,ORD-000013,CR-EXP,LN-022,2025-03-19T19:11:00,2025-03-21T00:35:30,22.82,9.29,0
SHP-000014,ORD-000014,CR-ECO,LN-003,2025-02-14T01:52:00,2025-02-16T13:16:18,14.16,13.66,0
SHP-000015,ORD-000015,CR-EXP,LN-003,2024-10-22T23:04:00,2024-10-25T00:52:57,24.27,12.26,0
SHP-000016,ORD-000016,CR-EXP,LN-022,2025-10-23T03:18:00,2025-10-24T15:12:41,26.39,10.24,0
SHP-000017,ORD-000017,CR-STD,LN-013,2025-10-07T10:27:00,2025-10-06T17:09:58,13.96,0.0,1
SHP-000018,ORD-000018,CR-EXP,LN-023,2025-07-27T16:01:00,2025-07-29T01:47:24,23.52,9.93,0
SHP-000019,ORD-000019,CR-EXP,LN-005,2024-04-10T18:47:00,2024-04-11T07:52:47,25.16,6.91,0
SHP-000020,ORD-000020,CR-STD,LN-014,2024-04-13T17:45:00,2024-04-12T23:53:28,15.13,0.0,1
SHP-000021,ORD-000021,CR-EXP,LN-009,2025-02-03T20:47:00,2025-02-06T19:06:34,23.37,15.26,0
SHP-000022,ORD-000022,CR-EXP,LN-018,2025-07-18T21:07:00,2025-07-20T01:25:28,22.18,9.13,0
SHP-000023,ORD-000023,CR-REG,LN-021,2025-04-01T15:18:00,2025-04-01T21:56:14,18.67,5.97,0
SHP-000024,ORD-000024,CR-EXP,LN-020,2024-02-08T23:28:00,2024-02-10T22:19:36,22.11,11.83,0
SHP-000025,ORD-000025,CR-EXP,LN-024,2024-06-11T02:17:00,2024-06-13T08:52:53,26.06,12.96,0
SHP-000026,ORD-000026,CR-ECO,LN-024,2025-10-08T09:01:00,2025-10-08T13:44:56,11.6,5.69,0
SHP-000027,ORD-000027,CR-EXP,LN-019,2025-02-13T12:59:00,2025-02-13T07:57:09,24.97,0.0,1
SHP-000028,ORD-000028,CR-REG,LN-016,2025-04-19T14:27:00,2025-04-18T22:37:55,17.44,0.0,1
SHP-000029,ORD-000029,CR-STD,LN-012,2024-06-03T21:48:00,2024-06-04T18:56:34,18.81,8.08,0
SHP-000030,ORD-000030,CR-STD,LN-014,2024-01-10T06:03:00,2024-01-11T02:22:06,16.42,7.96,0
SHP-000031,ORD-000031,CR-ECO,LN-008,2025-10-05T09:29:00,2025-10-06T08:23:41,8.9,8.34,0
SHP-000032,ORD-000032,CR-ECO,LN-004,2025-10-03T00:46:00,2025-10-02T06:56:15,13.55,0.0,1
SHP-000033,ORD-000033,CR-ECO,LN-003,2025-12-12T04:21:00,2025-12-15T19:36:56,8.45,17.73,0
SHP-000034,ORD-000034,CR-ECO,LN-005,2025-07-12T03:32:00,2025-07-11T05:45:45,12.03,0.0,1
SHP-000035,ORD-000035,CR-EXP,LN-016,2025-10-22T00:55:00,2025-10-24T06:14:15,23.21,12.78,0
SHP-000036,ORD-000036,CR-STD,LN-009,2025-11-26T10:36:00,2025-11-26T08:17:48,15.05,0.0,1
SHP-000037,ORD-000037,CR-STD,LN-017,2024-01-17T13:01:00,2024-01-18T01:06:13,14.48,6.76,0
SHP-000038,ORD-000038,CR-REG,LN-014,2024-04-28T08:06:00,2024-04-29T12:02:35,14.52,9.08,0
SHP-000039,ORD-000039,CR-ECO,LN-009,2024-10-11T03:09:00,2024-10-11T11:26:43,12.3,6.21,0
SHP-000040,ORD-000040,CR-STD,LN-020,2025-01-08T22:12:00,2025-01-07T17:43:53,11.97,0.0,1
SHP-000041,ORD-000041,CR-EXP,LN-010,2024-12-09T12:58:00,2024-12-12T15:52:20,23.97,15.92,0
SHP-000042,ORD-000042,CR-ECO,LN-017,2025-05-28T14:15:00,2025-05-26T18:49:14,9.44,0.0,1
SHP-000043,ORD-000043,CR-EXP,LN-016,2024-06-01T15:56:00,2024-06-02T23:54:59,21.14,9.66,0
SHP-000044,ORD-000044,CR-ECO,LN-025,2025-08-18T08:09:00,2025-08-13T18:56:59,11.38,0.0,1
SHP-000045,ORD-000045,CR-STD,LN-016,2025-02-01T17:26:00,2025-02-01T11:29:13,14.12,0.0,1
SHP-000046,ORD-000046,CR-EXP,LN-001,2025-05-27T06:24:00,2025-05-27T04:19:43,20.49,0.0,1
SHP-000047,ORD-000047,CR-REG,LN-023,2025-12-18T18:38:00,2025-12-19T06:50:50,13.05,6.78,0
SHP-000048,ORD-000048,CR-STD,LN-010,2025-01-26T12:27:00,2025-01-29T04:10:36,14.35,14.29,0
SHP-000049,ORD-000049,CR-STD,LN-006,2025-07-14T12:31:00,2025-07-14T10:06:45,15.89,0.0,1
SHP-000050,ORD-000050,CR-EXP,LN-017,2024-11-02T13:14:00,2024-11-04T14:35:06,26.17,12.2,0
SHP-000051,ORD-000051,CR-ECO,LN-024,2024-12-31T11:23:00,2024-12-31T12:55:26,8.18,5.22,0
SHP-000052,ORD-000052,CR-ECO,LN-014,2025-12-12T21:16:00,2025-12-12T21:53:47,9.37,5.09,0
SHP-000053,ORD-000053,CR-STD,LN-010,2024-09-14T05:17:00,2024-09-16T21:15:26,15.67,14.33,0
SHP-000054,ORD-000054,CR-REG,LN-008,2024-10-12T21:58:00,2024-10-16T01:09:22,18.5,15.97,0
SHP-000055,ORD-000055,CR-EXP,LN-018,2025-06-03T16:04:00,2025-06-05T19:51:41,26.45,12.55,0
SHP-000056,ORD-000056,CR-REG,LN-017,2025-11-19T12:03:00,2025-11-21T14:37:08,16.34,12.37,0
SHP-000057,ORD-000057,CR-STD,LN-024,2024-11-06T11:00:00,2024-11-06T05:15:22,12.91,0.0,1
SHP-000058,ORD-000058,CR-STD,LN-004,2024-04-17T05:59:00,2024-04-17T09:35:42,15.76,5.53,0
SHP-000059,ORD-000059,CR-ECO,LN-005,2024-11-11T05:32:00,2024-11-09T11:19:26,9.6,0.0,1
SHP-000060,ORD-000060,CR-ECO,LN-012,2025-05-30T19:23:00,2025-06-06T22:06:45,12.91,29.9,0
SHP-000061,ORD-000061,CR-STD,LN-020,2024-04-25T22:54:00,2024-04-25T04:13:14,16.48,0.0,1
SHP-000062,ORD-000062,CR-EXP,LN-013,2024-01-07T17:27:00,2024-01-07T20:34:45,21.08,5.46,0
SHP-000063,ORD-000063,CR-REG,LN-021,2024-02-19T01:48:00,2024-02-22T15:52:43,14.26,17.55,0
SHP-000064,ORD-000064,CR-EXP,LN-016,2024-12-04T03:00:00,2024-12-05T17:46:52,25.02,10.66,0
SHP-000065,ORD-000065,CR-ECO,LN-012,2024-03-26T23:01:00,2024-03-30T06:18:39,12.16,16.56,0
SHP-000066,ORD-000066,CR-REG,LN-007,2024-10-04T05:34:00,2024-10-02T18:11:27,10.97,0.0,1
SHP-000067,ORD-000067,CR-ECO,LN-008,2024-08-26T21:25:00,2024-08-28T18:41:57,12.07,11.6,0
SHP-000068,ORD-000068,CR-STD,LN-022,2024-04-25T21:33:00,2024-04-24T07:52:14,13.29,0.0,1
