event_id,shipment_id,stage,event_ts
EVT-0000001,SHP-000001,ORDERED,2025-11-17T18:43:00
EVT-0000002,SHP-000001,PICKED,2025-11-18T00:43:25
EVT-0000003,SHP-000001,PACKED,2025-11-18T03:57:54
EVT-0000004,SHP-000001,SHIPPED,2025-11-18T09:16:59
EVT-0000005,SHP-000001,IN_TRANSIT,2025-11-18T11:23:17
EVT-0000006,SHP-000001,DELIVERED,2025-11-24T14:36:56
EVT-0000007,SHP-000002,ORDERED,2024-12-11T20:01:00
EVT-0000008,SHP-000002,PICKED,2024-12-12T03:38:43
EVT-0000009,SHP-000002,PACKED,2024-12-12T05:09:48
EVT-0000010,SHP-000002,SHIPPED,2024-12-12T07:27:18
EVT-0000011,SHP-000002,IN_TRANSIT,2024-12-12T10:06:53
EVT-0000012,SHP-000002,DELIVERED,2024-12-13T10:20:55
EVT-0000013,SHP-000003,ORDERED,2024-07-24T16:35:00
EVT-0000014,SHP-000003,PICKED,2024-07-24T21:05:40
EVT-0000015,SHP-000003,PACKED,2024-07-24T22:44:23
EVT-0000016,SHP-000003,SHIPPED,2024-07-25T05:06:58
EVT-0000017,SHP-000003,IN_TRANSIT,2024-07-25T06:19:17
EVT-0000018,SHP-000003,DELIVERED,2024-07-29T08:17:42
EVT-0000019,SHP-000004,ORDERED,2024-06-10T09:35:00
EVT-0000020,SHP-000004,PICKED,2024-06-10T12:29:53
EVT-0000021,SHP-000004,PACKED,2024-06-10T17:55:16
EVT-0000022,SHP-000004,SHIPPED,2024-06-10T21:46:23
EVT-0000023,SHP-000004,IN_TRANSIT,2024-06-11T00:54:33
EVT-0000024,SHP-000004,DELIVERED,2024-06-12T22:00:08
EVT-0000025,SHP-000005,ORDERED,2024-08-04T12:40:00
EVT-0000026,SHP-000005,PICKED,2024-08-04T17:46:52
EVT-0000027,SHP-000005,PACKED,2024-08-04T22:31:17
EVT-0000028,SHP-000005,SHIPPED,2024-08-05T08:09:16
EVT-0000029,SHP-000005,IN_TRANSIT,2024-08-05T12:00:09
EVT-0000030,SHP-000005,DELIVERED,2024-08-07T15:07:35
EVT-0000031,SHP-000006,ORDERED,2025-05-13T16:07:00
EVT-0000032,SHP-000006,PICKED,2025-05-13T21:42:24
EVT-0000033,SHP-000006,PACKED,2025-05-14T01:23:01
EVT-0000034,SHP-000006,SHIPPED,2025-05-14T06:17:25
